LEAGUE,FTR,FTSC,MATCH_URL,SEASON,HOMETEAM,TIME,FTHG,AVOD,AWAYTEAM,AVOA,COUNTRY,DATE,ODDS_TYPE,FTAG,AVOH,TIMESTAMP,PAGE_URL
Bundesliga,A,1:3,http://www.oddsportal.com/soccer/germany/bundesliga/schalke-werder-bremen-0vkoh3HF/,2015,Schalke,16:30,1,4.05,Werder Bremen,4.85,Germany,24-01-2016,EU Odds,3,1.70,1453653000,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,H,3:2,http://www.oddsportal.com/soccer/germany/bundesliga/eintracht-frankfurt-wolfsburg-EoVLo1fq/,2015,Eintracht Frankfurt,14:30,3,3.55,Wolfsburg,2.14,Germany,24-01-2016,EU Odds,2,3.38,1453645800,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,A,1:3,http://www.oddsportal.com/soccer/germany/bundesliga/b-monchengladbach-dortmund-r3vjiNWL/,2015,B. Monchengladbach,17:30,1,4.55,Dortmund,1.55,Germany,23-01-2016,EU Odds,3,5.71,1453570200,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,A,1:2,http://www.oddsportal.com/soccer/germany/bundesliga/hannover-darmstadt-z1JUquPe/,2015,Hannover,14:30,1,3.26,Darmstadt,3.25,Germany,23-01-2016,EU Odds,2,2.33,1453559400,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,D,0:0,http://www.oddsportal.com/soccer/germany/bundesliga/hertha-berlin-augsburg-l4NYrav2/,2015,Hertha Berlin,14:30,0,3.35,Augsburg,3.71,Germany,23-01-2016,EU Odds,0,2.10,1453559400,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,D,1:1,http://www.oddsportal.com/soccer/germany/bundesliga/hoffenheim-bayer-leverkusen-27BG7rH2/,2015,Hoffenheim,14:30,1,3.91,Bayer Leverkusen,1.72,Germany,23-01-2016,EU Odds,1,4.91,1453559400,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,H,1:0,http://www.oddsportal.com/soccer/germany/bundesliga/ingolstadt-mainz-tbAK62W8/,2015,Ingolstadt,14:30,1,3.16,Mainz,3.22,Germany,23-01-2016,EU Odds,0,2.39,1453559400,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,A,1:3,http://www.oddsportal.com/soccer/germany/bundesliga/koln-vfb-stuttgart-hxUPpL9k/,2015,Koln,14:30,1,3.48,VfB Stuttgart,3.60,Germany,23-01-2016,EU Odds,3,2.09,1453559400,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,A,1:2,http://www.oddsportal.com/soccer/germany/bundesliga/hamburger-bayern-munich-MgwfjsnS/,2015,Hamburger SV,19:30,1,6.74,Bayern Munich,1.22,Germany,22-01-2016,EU Odds,2,13.80,1453491000,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,H,3:2,http://www.oddsportal.com/soccer/germany/bundesliga/b-monchengladbach-darmstadt-CKmAjjtB/,2015,B. Monchengladbach,16:30,3,4.18,Darmstadt,5.86,Germany,20-12-2015,EU Odds,2,1.58,1450629000,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,H,2:0,http://www.oddsportal.com/soccer/germany/bundesliga/hertha-berlin-mainz-fsnwfPn3/,2015,Hertha Berlin,14:30,2,3.32,Mainz,3.47,Germany,20-12-2015,EU Odds,0,2.19,1450621800,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,H,3:1,http://www.oddsportal.com/soccer/germany/bundesliga/vfb-stuttgart-wolfsburg-6L5rYsQq/,2015,VfB Stuttgart,17:30,3,3.63,Wolfsburg,2.08,Germany,19-12-2015,EU Odds,1,3.51,1450546200,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,H,2:1,http://www.oddsportal.com/soccer/germany/bundesliga/eintracht-frankfurt-werder-bremen-0r5nX1uj/,2015,Eintracht Frankfurt,14:30,2,3.51,Werder Bremen,3.20,Germany,19-12-2015,EU Odds,1,2.23,1450535400,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,A,0:1,http://www.oddsportal.com/soccer/germany/bundesliga/hamburger-augsburg-fqwFkAeH/,2015,Hamburger SV,14:30,0,3.32,Augsburg,3.11,Germany,19-12-2015,EU Odds,1,2.37,1450535400,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,A,0:1,http://www.oddsportal.com/soccer/germany/bundesliga/hannover-bayern-munich-GjmZf5Xd/,2015,Hannover,14:30,0,6.49,Bayern Munich,1.22,Germany,19-12-2015,EU Odds,1,14.22,1450535400,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,A,0:1,http://www.oddsportal.com/soccer/germany/bundesliga/ingolstadt-bayer-leverkusen-l4osgq29/,2015,Ingolstadt,14:30,0,3.60,Bayer Leverkusen,1.80,Germany,19-12-2015,EU Odds,1,4.84,1450535400,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,H,2:1,http://www.oddsportal.com/soccer/germany/bundesliga/koln-dortmund-vZ3jWLfd/,2015,Koln,14:30,2,4.34,Dortmund,1.55,Germany,19-12-2015,EU Odds,1,6.07,1450535400,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,H,1:0,http://www.oddsportal.com/soccer/germany/bundesliga/schalke-hoffenheim-YTl6iWQ4/,2015,Schalke,19:30,1,4.05,Hoffenheim,5.17,Germany,18-12-2015,EU Odds,0,1.66,1450467000,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,H,4:1,http://www.oddsportal.com/soccer/germany/bundesliga/dortmund-eintracht-frankfurt-hdEXxXBB/,2015,Dortmund,16:30,4,8.65,Eintracht Frankfurt,16.15,Germany,13-12-2015,EU Odds,1,1.16,1450024200,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,H,2:1,http://www.oddsportal.com/soccer/germany/bundesliga/augsburg-schalke-SE6pzVeU/,2015,Augsburg,14:30,2,3.41,Schalke,2.56,Germany,13-12-2015,EU Odds,1,2.78,1450017000,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,H,5:0,http://www.oddsportal.com/soccer/germany/bundesliga/bayer-leverkusen-b-monchengladbach-WnDyxiRH/,2015,Bayer Leverkusen,17:30,5,3.94,B. Monchengladbach,4.20,Germany,12-12-2015,EU Odds,0,1.84,1449941400,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,H,2:0,http://www.oddsportal.com/soccer/germany/bundesliga/bayern-munich-ingolstadt-bZETwDd5/,2015,Bayern Munich,14:30,2,9.53,Ingolstadt,25.94,Germany,12-12-2015,EU Odds,0,1.11,1449930600,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,A,0:4,http://www.oddsportal.com/soccer/germany/bundesliga/darmstadt-hertha-berlin-vgz3hCBb/,2015,Darmstadt,14:30,0,3.00,Hertha Berlin,2.82,Germany,12-12-2015,EU Odds,4,2.80,1449930600,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,H,1:0,http://www.oddsportal.com/soccer/germany/bundesliga/hoffenheim-hannover-IwnffYtn/,2015,Hoffenheim,14:30,1,3.58,Hannover,4.30,Germany,12-12-2015,EU Odds,0,1.88,1449930600,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,D,1:1,http://www.oddsportal.com/soccer/germany/bundesliga/werder-bremen-koln-4zrjeERu/,2015,Werder Bremen,14:30,1,3.31,Koln,2.71,Germany,12-12-2015,EU Odds,1,2.68,1449930600,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,D,1:1,http://www.oddsportal.com/soccer/germany/bundesliga/wolfsburg-hamburger-lO7tyBtO/,2015,Wolfsburg,14:30,1,4.24,Hamburger SV,5.91,Germany,12-12-2015,EU Odds,1,1.57,1449930600,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,D,0:0,http://www.oddsportal.com/soccer/germany/bundesliga/mainz-vfb-stuttgart-02yaghdh/,2015,Mainz,19:30,0,3.63,VfB Stuttgart,3.43,Germany,11-12-2015,EU Odds,0,2.09,1449862200,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,A,0:1,http://www.oddsportal.com/soccer/germany/bundesliga/eintracht-frankfurt-darmstadt-dAICsect/,2015,Eintracht Frankfurt,16:30,0,3.36,Darmstadt,3.88,Germany,06-12-2015,EU Odds,1,2.04,1449419400,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,D,1:1,http://www.oddsportal.com/soccer/germany/bundesliga/vfb-stuttgart-werder-bremen-f1WpnykP/,2015,VfB Stuttgart,14:30,1,3.70,Werder Bremen,3.40,Germany,06-12-2015,EU Odds,1,2.07,1449412200,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,A,1:2,http://www.oddsportal.com/soccer/germany/bundesliga/wolfsburg-dortmund-vglbOXdI/,2015,Wolfsburg,17:30,1,3.98,Dortmund,2.00,Germany,05-12-2015,EU Odds,2,3.49,1449336600,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,H,3:1,http://www.oddsportal.com/soccer/germany/bundesliga/b-monchengladbach-bayern-munich-pWlfPDsC/,2015,B. Monchengladbach,14:30,3,5.17,Bayern Munich,1.38,Germany,05-12-2015,EU Odds,1,8.06,1449325800,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,A,1:3,http://www.oddsportal.com/soccer/germany/bundesliga/hamburger-mainz-hdh2NiCO/,2015,Hamburger SV,14:30,1,3.38,Mainz,3.12,Germany,05-12-2015,EU Odds,3,2.34,1449325800,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,H,2:1,http://www.oddsportal.com/soccer/germany/bundesliga/hertha-berlin-bayer-leverkusen-4zMKuZRh/,2015,Hertha Berlin,14:30,2,3.52,Bayer Leverkusen,1.93,Germany,05-12-2015,EU Odds,1,4.17,1449325800,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,D,1:1,http://www.oddsportal.com/soccer/germany/bundesliga/ingolstadt-hoffenheim-naBPvgsa/,2015,Ingolstadt,14:30,1,3.27,Hoffenheim,3.20,Germany,05-12-2015,EU Odds,1,2.35,1449325800,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,A,0:1,http://www.oddsportal.com/soccer/germany/bundesliga/koln-augsburg-QqNGtFCn/,2015,Koln,14:30,0,3.30,Augsburg,3.29,Germany,05-12-2015,EU Odds,1,2.28,1449325800,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,H,3:1,http://www.oddsportal.com/soccer/germany/bundesliga/schalke-hannover-6ujjQgS5/,2015,Schalke,19:30,3,4.16,Hannover,5.74,Germany,04-12-2015,EU Odds,1,1.59,1449257400,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,D,0:0,http://www.oddsportal.com/soccer/germany/bundesliga/augsburg-wolfsburg-fueAZc5J/,2015,Augsburg,16:30,0,3.48,Wolfsburg,2.29,Germany,29-11-2015,EU Odds,0,3.13,1448814600,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,D,1:1,http://www.oddsportal.com/soccer/germany/bundesliga/bayer-leverkusen-schalke-6P1SAESI/,2015,Bayer Leverkusen,16:30,1,4.04,Schalke,4.93,Germany,29-11-2015,EU Odds,1,1.69,1448814600,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,H,4:1,http://www.oddsportal.com/soccer/germany/bundesliga/dortmund-vfb-stuttgart-SY2OBfDC/,2015,Dortmund,14:30,4,7.04,VfB Stuttgart,11.10,Germany,29-11-2015,EU Odds,1,1.24,1448807400,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,H,2:1,http://www.oddsportal.com/soccer/germany/bundesliga/mainz-eintracht-frankfurt-nwzkSFcg/,2015,Mainz,14:45,2,3.59,Eintracht Frankfurt,3.42,Germany,28-11-2015,EU Odds,1,2.12,1448721900,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,H,2:0,http://www.oddsportal.com/soccer/germany/bundesliga/bayern-munich-hertha-berlin-pADJCzb6/,2015,Bayern Munich,14:30,2,8.90,Hertha Berlin,22.25,Germany,28-11-2015,EU Odds,0,1.13,1448721000,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,H,4:0,http://www.oddsportal.com/soccer/germany/bundesliga/hannover-ingolstadt-vDWtUyTt/,2015,Hannover,14:30,4,3.15,Ingolstadt,2.76,Germany,28-11-2015,EU Odds,0,2.74,1448721000,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,D,3:3,http://www.oddsportal.com/soccer/germany/bundesliga/hoffenheim-b-monchengladbach-hGzoTerm/,2015,Hoffenheim,14:30,3,3.49,B. Monchengladbach,2.31,Germany,28-11-2015,EU Odds,3,3.08,1448721000,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,A,1:3,http://www.oddsportal.com/soccer/germany/bundesliga/werder-bremen-hamburger-YVgEYHKP/,2015,Werder Bremen,14:30,1,3.39,Hamburger SV,3.22,Germany,28-11-2015,EU Odds,3,2.29,1448721000,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,D,0:0,http://www.oddsportal.com/soccer/germany/bundesliga/darmstadt-koln-QTYhRZCa/,2015,Darmstadt,19:30,0,3.17,Koln,2.46,Germany,27-11-2015,EU Odds,0,3.11,1448652600,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,H,3:1,http://www.oddsportal.com/soccer/germany/bundesliga/ingolstadt-darmstadt-nPfGDGr0/,2015,Ingolstadt,16:30,3,3.22,Darmstadt,3.86,Germany,22-11-2015,EU Odds,1,2.11,1448209800,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,H,1:0,http://www.oddsportal.com/soccer/germany/bundesliga/hertha-berlin-hoffenheim-h2eCEdTg/,2015,Hertha Berlin,14:30,1,3.47,Hoffenheim,3.75,Germany,22-11-2015,EU Odds,0,2.05,1448202600,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,A,1:3,http://www.oddsportal.com/soccer/germany/bundesliga/schalke-bayern-munich-4xmqF827/,2015,Schalke,17:30,1,6.07,Bayern Munich,1.28,Germany,21-11-2015,EU Odds,3,10.63,1448127000,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,H,2:1,http://www.oddsportal.com/soccer/germany/bundesliga/b-monchengladbach-hannover-rTomESHD/,2015,B. Monchengladbach,14:30,2,4.33,Hannover,6.90,Germany,21-11-2015,EU Odds,1,1.50,1448116200,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,H,6:0,http://www.oddsportal.com/soccer/germany/bundesliga/wolfsburg-werder-bremen-n1CTMKLD/,2015,Wolfsburg,14:30,6,3.96,Werder Bremen,4.93,Germany,21-11-2015,EU Odds,0,1.70,1448116200,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/1/
Bundesliga,A,1:3,http://www.oddsportal.com/soccer/germany/bundesliga/schalke-werder-bremen-0vkoh3HF/,2015,Schalke,16:30,1,4.05,Werder Bremen,4.85,Germany,24-01-2016,EU Odds,3,1.70,1453653000,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/2/
Bundesliga,H,3:2,http://www.oddsportal.com/soccer/germany/bundesliga/eintracht-frankfurt-wolfsburg-EoVLo1fq/,2015,Eintracht Frankfurt,14:30,3,3.55,Wolfsburg,2.14,Germany,24-01-2016,EU Odds,2,3.38,1453645800,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/2/
Bundesliga,A,1:3,http://www.oddsportal.com/soccer/germany/bundesliga/b-monchengladbach-dortmund-r3vjiNWL/,2015,B. Monchengladbach,17:30,1,4.55,Dortmund,1.55,Germany,23-01-2016,EU Odds,3,5.71,1453570200,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/2/
Bundesliga,A,1:2,http://www.oddsportal.com/soccer/germany/bundesliga/hannover-darmstadt-z1JUquPe/,2015,Hannover,14:30,1,3.26,Darmstadt,3.25,Germany,23-01-2016,EU Odds,2,2.33,1453559400,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/2/
Bundesliga,D,0:0,http://www.oddsportal.com/soccer/germany/bundesliga/hertha-berlin-augsburg-l4NYrav2/,2015,Hertha Berlin,14:30,0,3.35,Augsburg,3.71,Germany,23-01-2016,EU Odds,0,2.10,1453559400,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/2/
Bundesliga,D,1:1,http://www.oddsportal.com/soccer/germany/bundesliga/hoffenheim-bayer-leverkusen-27BG7rH2/,2015,Hoffenheim,14:30,1,3.91,Bayer Leverkusen,1.72,Germany,23-01-2016,EU Odds,1,4.91,1453559400,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/2/
Bundesliga,H,1:0,http://www.oddsportal.com/soccer/germany/bundesliga/ingolstadt-mainz-tbAK62W8/,2015,Ingolstadt,14:30,1,3.16,Mainz,3.22,Germany,23-01-2016,EU Odds,0,2.39,1453559400,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/2/
Bundesliga,A,1:3,http://www.oddsportal.com/soccer/germany/bundesliga/koln-vfb-stuttgart-hxUPpL9k/,2015,Koln,14:30,1,3.48,VfB Stuttgart,3.60,Germany,23-01-2016,EU Odds,3,2.09,1453559400,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/2/
Bundesliga,A,1:2,http://www.oddsportal.com/soccer/germany/bundesliga/hamburger-bayern-munich-MgwfjsnS/,2015,Hamburger SV,19:30,1,6.74,Bayern Munich,1.22,Germany,22-01-2016,EU Odds,2,13.80,1453491000,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/2/
Bundesliga,H,3:2,http://www.oddsportal.com/soccer/germany/bundesliga/b-monchengladbach-darmstadt-CKmAjjtB/,2015,B. Monchengladbach,16:30,3,4.18,Darmstadt,5.86,Germany,20-12-2015,EU Odds,2,1.58,1450629000,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/2/
Bundesliga,H,2:0,http://www.oddsportal.com/soccer/germany/bundesliga/hertha-berlin-mainz-fsnwfPn3/,2015,Hertha Berlin,14:30,2,3.32,Mainz,3.47,Germany,20-12-2015,EU Odds,0,2.19,1450621800,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/2/
Bundesliga,H,3:1,http://www.oddsportal.com/soccer/germany/bundesliga/vfb-stuttgart-wolfsburg-6L5rYsQq/,2015,VfB Stuttgart,17:30,3,3.63,Wolfsburg,2.08,Germany,19-12-2015,EU Odds,1,3.51,1450546200,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/2/
Bundesliga,H,2:1,http://www.oddsportal.com/soccer/germany/bundesliga/eintracht-frankfurt-werder-bremen-0r5nX1uj/,2015,Eintracht Frankfurt,14:30,2,3.51,Werder Bremen,3.20,Germany,19-12-2015,EU Odds,1,2.23,1450535400,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/2/
Bundesliga,A,0:1,http://www.oddsportal.com/soccer/germany/bundesliga/hamburger-augsburg-fqwFkAeH/,2015,Hamburger SV,14:30,0,3.32,Augsburg,3.11,Germany,19-12-2015,EU Odds,1,2.37,1450535400,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/2/
Bundesliga,A,0:1,http://www.oddsportal.com/soccer/germany/bundesliga/hannover-bayern-munich-GjmZf5Xd/,2015,Hannover,14:30,0,6.49,Bayern Munich,1.22,Germany,19-12-2015,EU Odds,1,14.22,1450535400,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/2/
Bundesliga,A,0:1,http://www.oddsportal.com/soccer/germany/bundesliga/ingolstadt-bayer-leverkusen-l4osgq29/,2015,Ingolstadt,14:30,0,3.60,Bayer Leverkusen,1.80,Germany,19-12-2015,EU Odds,1,4.84,1450535400,http://www.oddsportal.com/soccer/germany/bundesliga/results/#/page/2/
